"Authors","Author full names","Author(s) ID","Title","Year","Cited by","Link","Index Keywords","Funding Details"
"Semente R.S.; Silva A.; Salazar A.O.; Oliveira F.D.M.; Lock A.S.","Semente, Rodrigo S. (56105065700); Silva, Alexandre (57198695141); Salazar, Andres O. (7102422753); Oliveira, Felipe D. M. (56105199700); Lock, Alberto S. (14834340200)","56105065700; 57198695141; 7102422753; 56105199700; 14834340200","A energy efficient WSN system for limited power source environments","2013","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897825817&doi=10.1109%2fICSensT.2013.6727641&partnerID=40&md5=38ff93b6222fdacc8ae6e72620bf7b06","Energy efficiency; Standards; Zigbee; Charge and discharge; Consumption of energy; Control subsystems; Energetic efficiency; IEEE 802.15.4; IEEE 802.15.4 standards; Optimal operation; Power managements; Wireless sensor networks",""
"De Almeida Rego J.B.; De Medeiros Martins A.; Costa E.D.B.","De Almeida Rego, Joilson Batista (56167782200); De Medeiros Martins, Allan (57985251100); Costa, Evandro De B. (35618052700)","56167782200; 57985251100; 35618052700","Deterministic system identification using RBF networks","2014","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901020452&doi=10.1155%2f2014%2f432593&partnerID=40&md5=efb4c937c3f8761e53e80e05fa3145a7","Artificial intelligence; Dynamical systems; Induction motors; Nonlinear systems; Basin of attraction; Dynamical solutions; Equilibrium point; Mathematical tools; Radial basis function networks",""
"Galvão S.B.; Lima A.C.; De Medeiros S.N.; Soares J.M.; Paskocimas C.A.","Galvão, S.B. (26658089700); Lima, A.C. (14822207300); De Medeiros, S.N. (6701856417); Soares, J.M. (12902632400); Paskocimas, C.A. (6603828646)","26658089700; 14822207300; 6701856417; 12902632400; 6603828646","The effect of the morphology on the magnetic properties of barium synthesized by Pechini method","2014","52","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886672641&doi=10.1016%2fj.matlet.2013.10.012&partnerID=40&md5=158c7e240d615e9813e0c156b284ae72","Barium; Heat treatment; Magnetic properties; Nanoparticles; Scanning electron microscopy; X ray diffraction; Barium hexaferrites; Ellipsoidal nanostructures; Particle size and morphologies; Pechini method; Ssbauer spectroscopies; Vibrating sample magnetometry; Morphology","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, CAPES"
"Reiser R.H.S.; Bedregal B.; Baczyński M.","Reiser, Renata H.S. (8240172800); Bedregal, Benjamin (15520790700); Baczyński, Michał (6507407234)","8240172800; 15520790700; 6507407234","Aggregating fuzzy implications","2013","40","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885053834&doi=10.1016%2fj.ins.2013.08.026&partnerID=40&md5=e1e378f7eac5ca3a21d84c2b954bbc51","Binary sequences; (S, N)-implication; Aggregation functions; Fuzzy connectives; Fuzzy implications; R-implication; Fuzzy logic",""
"Araujo L.V.; Catunda S.Y.C.; Dórea C.E.T.; Freire R.C.S.","Araujo, L.V. (36176781200); Catunda, S.Y.C. (6602674444); Dórea, C.E.T. (7004096252); Freire, R.C.S. (15922490800)","36176781200; 6602674444; 7004096252; 15922490800","A controlled-temperature hot-wire anemometer with voltage feedback linearization","2014","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905714860&doi=10.1109%2fI2MTC.2014.6860761&partnerID=40&md5=f69c301fdf50c97a78f101fa2d3e4e13","Architecture; Controllers; Feedback; Feedback linearization; Planning; Sustainable development; Constant temperature; Constant-temperature anemometers; Hot wire anemometers; Input-output; Steady state errors; System response time; Thermo-resistive sensor; Voltage feedback; Anemometers",""
"Nunes D.C.; Pinto J.E.M.G.; Fonseca D.G.V.; Maitelli A.L.; Araújo F.M.U.","Nunes, Diogo C. (56414404200); Pinto, Jan E.M.G. (56414005500); Fonseca, Daniel G.V. (57211301002); Maitelli, André L. (6602549353); Araújo, Fábio M.U. (35316777100)","56414404200; 56414005500; 57211301002; 6602549353; 35316777100","Relay based PID auto-tuning applied to a multivariable level control system","2014","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910030156&doi=10.5220%2f0005063907410748&partnerID=40&md5=f4cdb22b043c85af9990bd646e9c43d4","Electric control equipment; Proportional control systems; Robotics; Three term control systems; Autotuning; Coupled tank; Multi variables; Multivariable control; PID controllers; Relay method; Relay-based; Ziegler Nichols; Controllers",""
"Lima J.A.; Medeiros P.E.; Paladino E.E.; Almeida R.F.C.; Assmann B.W.","Lima, J.A. (7202778027); Medeiros, P.E. (57197632537); Paladino, E.E. (6701419145); Almeida, R.F.C. (24779235100); Assmann, B.W. (24779263400)","7202778027; 57197632537; 6701419145; 24779235100; 24779263400","A computational model for analysis of fluid-structure interaction within elastomeric progressing cavity pumps","2013","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897704648&partnerID=40&md5=51256ca88ede706a36e65e4b992310f6","Computational fluid dynamics; Computational methods; Finite volume method; Fluid structure interaction; Gas oils; Mathematical models; Petroleum industry; Rotors (windings); Rubber; Stators; Structural analysis; Differential pressures; Experimental measuring; Fluid dynamic equations; Geometrical configurations; Moving and deforming mesh; Operational parameters; Progressing cavity pumps; Structural deformation; Deformation",""
"Lima R.G.F.; Leitão G.; Guedes L.A.; Bezerra V.; Venleslau A.","Lima, Raphaela G. F. (55970479200); Leitão, Gustavo (55028638700); Guedes, Luiz Affonso (35761038800); Bezerra, Vanja (56204475400); Venleslau, Allan (55971652800)","55970479200; 55028638700; 35761038800; 56204475400; 55971652800","Economic evaluation of industrial processes with ontology","2014","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902370494&doi=10.1109%2fICNSC.2014.6819646&partnerID=40&md5=59f1d5873fadf8c0869bd202c7947214","Industry; Ontology; Alarm management; Economic evaluations; Economically viable; Industrial processs; Physical aspects; Economic analysis",""
"Ribeiro P.L.; Silva B.L.; Da Silva W.S.; Spinelli J.E.","Ribeiro, Pryscilla Liberato (56195206800); Silva, Bismarck Luiz (39062004200); Da Silva, Wanderson Santana (7007013246); Spinelli, José E. (55131191500)","56195206800; 39062004200; 7007013246; 55131191500","Effects of cellular growth on fatigue life of directionally solidified hypoeutectic Al-Fe alloys","2014","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906277704&doi=10.1590%2fS1516-14392014005000021&partnerID=40&md5=6341e7420b0412862f55f2f8536c8ac6","Alloys; Aluminum; Fatigue of materials; Oil wells; Solidification; Al-Fe alloys; Directionally solidified; Fatigue properties; Homogeneous distribution; Hypoeutectic alloys; Intercellular regions; Phase distribution; Unidirectional solidification; Iron alloys",""
"De Souza J.R.; De Sá Leitão N.C.M.C.; Medeiros J.S.; Sabino J.M.; De Medeiros J.T.N.","De Souza, Juliana Ricardo (55626819600); De Sá Leitão, Nayane Carla M. C. (56455228700); Medeiros, Jarbas Santos (55885872100); Sabino, João Marcos (55124352300); De Medeiros, Joãb Telésforo N. (56392645000)","55626819600; 56455228700; 55885872100; 55124352300; 56392645000","Tribological comparative analysis of abrasive wear between new and aged internal HDPE liners in crude oil pipelines","2014","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919482154&partnerID=40&md5=33cd04b4729d98c3385c4bc39b30597b","",""
"de Freitas Neto O.; Santos O.; Severo R.","de Freitas Neto, Osvaldo (6601997842); Santos, Olavo (55019995000); Severo, Ricardo (56297896000)","6601997842; 55019995000; 56297896000","Influence of density on the hydraulic and mechanical properties of sands","2014","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904973172&doi=10.4028%2fwww.scientific.net%2fAMM.580-583.659&partnerID=40&md5=3ac344cfb807c0f861c7715de834ca35","Compressive strength; Friction; Hydraulic conductivity; Mechanical permeability; Sand; Shear strength; Angle of friction; Confining stress; Different densities; Direct shear test; Formation process; Influence of density; Relative density; Triaxial compression; Density (specific gravity)",""
"Da Costa C.J.M.; De Medeiros J.S.; Da Silva A.A.S.; De Medeiros J.T.N.; Sabino J.M.; Camerini C.S.","Da Costa, Christiano José Menezes (56454897200); De Medeiros, Jarbas Santos (55626228100); Da Silva, Alysson Alves Santos (56454717700); De Medeiros, João Telésforo Nóbrega (56392645000); Sabino, João Marcos (55124352300); Camerini, Claudio S. (7004708601)","56454897200; 55626228100; 56454717700; 56392645000; 55124352300; 7004708601","Experimental topological analysis simulating a wall of the internal surface of pipelines by mechanical profilometry","2014","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919489861&partnerID=40&md5=c54c562d69ce0280fb58b4980677a9ad","",""
"Almeida Filho V.A.; Campos A.L.P.S.","Almeida Filho, Valdez A. (55225961700); Campos, Antonio Luiz P. S. (16309023400)","55225961700; 16309023400","Performance optimization of microstrip antenna array using frequency selective surfaces","2014","24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903600441&doi=10.1590%2fS2179-10742014000100003&partnerID=40&md5=de7dfd3a77b313e7d6fb9f1cae354ce6","Frequency selective surfaces; Microstrip antennas; FSS; LTE; Measured results; Microstripes; Performance optimizations; Radiation efficiency; Radiation parameters; WLAN; Antenna arrays",""
"Garcia L.M.P.; Souza G.L.; Nascimento R.M.; Macedo D.A.; Motta F.V.; Paskocimas C.A.","Garcia, Laurenia M. P. (55654642100); Souza, Graziele L. (54929233100); Nascimento, Rubens M. (57209328371); Macedo, Daniel A. (36624035900); Motta, Fabiana V. (24723217600); Paskocimas, Carlos A. (6603828646)","55654642100; 54929233100; 57209328371; 36624035900; 24723217600; 6603828646","Citrate-hydrothermal synthesis and electrochemical characterization of La0.6Sr0.4Co0.2Fe0.8O3 for intermediate temperature SOFC","2014","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892842227&doi=10.4028%2fwww.scientific.net%2fMSF.775-776.673&partnerID=40&md5=a459ba61064d7a66bca45a6d32cda872","Cathodes; Cerium oxide; Electrochemical impedance spectroscopy; Hydrothermal synthesis; Iron compounds; Lanthanum compounds; Microstructure; Powders; Scanning electron microscopy; Sintering; Spectroscopy; Strontium compounds; Area-specific resistances; Electrochemical behaviors; Electrochemical characterizations; Electrochemical performance; Impedance spectroscopy; Intermediate temperatures; LSCF; Material characterization techniques; Solid oxide fuel cells (SOFC)",""
"Silva Neto V.P.; Vasconcelos C.F.L.; Albuquerque M.R.M.L.; D'Assunção A.G.","Silva Neto, Valdemir P. (55908415500); Vasconcelos, Cristhianne F. L. (19639329800); Albuquerque, Maria Rosa M. L. (7007067734); D'Assunção, Adaildo G. (7004474343)","55908415500; 19639329800; 7007067734; 7004474343","High selectivity band pass filters on iso/anisotropic dielectric, ferrimagnetic, and metamaterial substrates","2014","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888627964&doi=10.1002%2fmop.28066&partnerID=40&md5=cd52eb483f05750976d3e3bfc1308a32","Bandpass filters; Computer software; Embedded systems; Ferrimagnetism; Frequency response; Geometry; Metamaterials; Microwave filters; Natural frequencies; Optical resonators; Anisotropic dielectrics; Commercial software; Different substrates; ferrimagnetic; High-frequency selectivity; Isotropic substrates; Material substrates; Microstrip ring resonator; Substrates",""
